DateUTC,Product,Version,Path,Bytes,ModifiedDatenum
1997-09-02,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1997\09\ac_h0_mfi_19970902_v04.cdf,411001,740175.939212963
1997-09-02,H1,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h1\l2\1997\09\ac_h1_mfi_19970902_v04.cdf,49980,740175.939224537
1997-09-03,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1997\09\ac_h0_mfi_19970903_v04.cdf,411001,740175.940034722
1997-09-04,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1997\09\ac_h0_mfi_19970904_v04.cdf,411001,740175.940046296
1997-09-05,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1997\09\ac_h0_mfi_19970905_v04.cdf,411001,740175.940115741
1997-09-06,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1997\09\ac_h0_mfi_19970906_v04.cdf,411001,740175.940173611
1997-09-07,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1997\09\ac_h0_mfi_19970907_v04.cdf,411001,740175.940231481
1997-09-08,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1997\09\ac_h0_mfi_19970908_v04.cdf,411001,740175.940277778
1997-09-09,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1997\09\ac_h0_mfi_19970909_v04.cdf,411001,740175.940335648
1997-09-10,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1997\09\ac_h0_mfi_19970910_v04.cdf,411001,740175.940405093
1997-09-11,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1997\09\ac_h0_mfi_19970911_v04.cdf,411001,740175.940474537
1997-09-12,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1997\09\ac_h0_mfi_19970912_v04.cdf,411001,740175.940520833
1997-09-13,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1997\09\ac_h0_mfi_19970913_v04.cdf,411001,740175.940578704
1997-09-13,H1,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h1\l2\1997\09\ac_h1_mfi_19970913_v04.cdf,49980,740175.940636574
1997-09-13,H2,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h2\l2\1997\09\ac_h2_mfi_19970913_v04.cdf,28580,740175.94068287
1997-09-14,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1997\09\ac_h0_mfi_19970914_v04.cdf,411001,740175.940729167
1997-09-14,H1,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h1\l2\1997\09\ac_h1_mfi_19970914_v04.cdf,49980,740175.940787037
1997-09-14,H2,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h2\l2\1997\09\ac_h2_mfi_19970914_v04.cdf,28580,740175.940821759
1997-09-15,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1997\09\ac_h0_mfi_19970915_v04.cdf,411001,740175.940868056
1997-09-15,H1,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h1\l2\1997\09\ac_h1_mfi_19970915_v04.cdf,49980,740175.940914352
1997-09-15,H2,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h2\l2\1997\09\ac_h2_mfi_19970915_v04.cdf,28580,740175.940949074
1997-09-16,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1997\09\ac_h0_mfi_19970916_v04.cdf,411001,740175.94099537
1997-09-17,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1997\09\ac_h0_mfi_19970917_v04.cdf,411001,740175.941041667
1997-09-18,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1997\09\ac_h0_mfi_19970918_v04.cdf,411001,740175.941099537
1997-09-19,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1997\09\ac_h0_mfi_19970919_v04.cdf,411001,740175.941157407
1997-09-20,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1997\09\ac_h0_mfi_19970920_v04.cdf,411001,740175.941203704
1997-09-21,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1997\09\ac_h0_mfi_19970921_v04.cdf,411001,740175.941261574
