TimeUTC,B_mean_nT,B_max_nT,Source,SourceVersion,N_total,N_valid,Coverage
1998-01-01T00:00:00Z,4.81902221573724,5.33199977874756,H0,4,225,225,1
1998-01-01T01:00:00Z,5.07899555842082,5.82399988174438,H0,4,225,225,1
1998-01-01T02:00:00Z,5.43181696747031,6.24200010299683,H0,4,225,224,0.9955556
1998-01-01T03:00:00Z,5.4328977839152,6.03599977493286,H0,4,225,225,1
1998-01-01T04:00:00Z,5.16117777930366,6.01399993896484,H0,4,225,225,1
1998-01-01T05:00:00Z,4.88847999784682,6.16300010681152,H0,4,225,225,1
1998-01-01T06:00:00Z,5.72208445443047,6.19600009918213,H0,4,225,225,1
1998-01-01T07:00:00Z,5.16002221425374,5.76100015640259,H0,4,225,225,1
1998-01-01T08:00:00Z,6.14187556160821,6.44500017166138,H0,4,225,225,1
1998-01-01T09:00:00Z,6.16057777616713,6.4539999961853,H0,4,225,225,1
1998-01-01T10:00:00Z,5.57178222020467,6.22499990463257,H0,4,225,225,1
1998-01-01T11:00:00Z,5.76688889397515,6.00799989700317,H0,4,225,225,1
1998-01-01T12:00:00Z,5.91105803634439,6.10099983215332,H0,4,225,224,0.9955556
1998-01-01T13:00:00Z,5.99170222812229,6.30800008773804,H0,4,225,225,1
1998-01-01T14:00:00Z,6.63950222227308,7.06199979782104,H0,4,225,225,1
1998-01-01T15:00:00Z,6.33627999623617,6.66400003433228,H0,4,225,225,1
1998-01-01T16:00:00Z,6.55000888400608,6.7519998550415,H0,4,225,225,1
1998-01-01T17:00:00Z,6.84684889687432,7.1729998588562,H0,4,225,225,1
1998-01-01T18:00:00Z,7.14414666069878,7.51399993896484,H0,4,225,225,1
1998-01-01T19:00:00Z,7.81878222359551,8.14999961853027,H0,4,225,225,1
1998-01-01T20:00:00Z,7.16417331907484,7.48000001907349,H0,4,225,225,1
1998-01-01T21:00:00Z,7.11095553504096,7.31799983978271,H0,4,225,225,1
1998-01-01T22:00:00Z,6.84083999845717,7.14699983596802,H0,4,225,225,1
1998-01-01T23:00:00Z,6.46696000417074,6.69600009918213,H0,4,225,225,1
1998-01-02T00:00:00Z,6.40597778108385,6.55800008773804,H0,4,225,225,1
1998-01-02T01:00:00Z,5.85079554663764,6.31099987030029,H0,4,225,225,1
1998-01-02T02:00:00Z,5.37692887412177,5.77099990844727,H0,4,225,225,1
1998-01-02T03:00:00Z,5.57529778374566,5.81400012969971,H0,4,225,225,1
1998-01-02T04:00:00Z,5.49939999050564,5.86700010299683,H0,4,225,225,1
1998-01-02T05:00:00Z,4.85287112765842,5.96500015258789,H0,4,225,225,1
1998-01-02T06:00:00Z,5.4395822291904,6.13600015640259,H0,4,225,225,1
1998-01-02T07:00:00Z,5.6875644408332,5.91300010681152,H0,4,225,225,1
1998-01-02T08:00:00Z,5.73977777693007,6.32299995422363,H0,4,225,225,1
1998-01-02T09:00:00Z,5.79834222793579,6.25699996948242,H0,4,225,225,1
1998-01-02T10:00:00Z,5.9793244404263,6.15500020980835,H0,4,225,225,1
1998-01-02T11:00:00Z,6.18237777709961,6.81400012969971,H0,4,225,225,1
1998-01-02T12:00:00Z,6.65323554992676,7.0310001373291,H0,4,225,225,1
1998-01-02T13:00:00Z,5.84980888260735,6.52600002288818,H0,4,225,225,1
1998-01-02T14:00:00Z,5.94454222149319,6.3600001335144,H0,4,225,225,1
1998-01-02T15:00:00Z,5.83920443428887,6.13399982452393,H0,4,225,225,1
1998-01-02T16:00:00Z,5.93045778486464,6.33199977874756,H0,4,225,225,1
1998-01-02T17:00:00Z,5.68040887832642,6.41699981689453,H0,4,225,225,1
1998-01-02T18:00:00Z,5.19323554780748,6.19899988174438,H0,4,225,225,1
1998-01-02T19:00:00Z,4.97374221483866,5.3899998664856,H0,4,225,225,1
1998-01-02T20:00:00Z,4.91304888089498,5.78399991989136,H0,4,225,225,1
1998-01-02T21:00:00Z,4.98670222812229,5.58400011062622,H0,4,225,225,1
1998-01-02T22:00:00Z,5.6118977801005,5.77099990844727,H0,4,225,225,1
1998-01-02T23:00:00Z,5.5397599919637,5.71799993515015,H0,4,225,225,1
1998-01-03T00:00:00Z,4.80897583246231,5.63199996948242,H3,1,3600,3600,1
1998-01-03T01:00:00Z,4.61778944373131,4.9060001373291,H3,1,3600,3600,1
1998-01-03T02:00:00Z,4.37811444282532,4.89699983596802,H3,1,3600,3600,1
1998-01-03T03:00:00Z,4.61070907500911,5.13600015640259,H3,1,3600,3592,0.9977778
1998-01-03T04:00:00Z,4.50966638538573,4.94199991226196,H3,1,3600,3600,1
1998-01-03T05:00:00Z,4.6193377784888,5.06699991226196,H3,1,3600,3600,1
1998-01-03T06:00:00Z,4.62535555614365,5.07999992370605,H3,1,3600,3600,1
1998-01-03T07:00:00Z,4.55275305463208,4.97200012207031,H3,1,3600,3600,1
1998-01-03T08:00:00Z,4.42604083703624,4.78200006484985,H3,1,3600,3600,1
1998-01-03T09:00:00Z,4.25881888780329,4.79400014877319,H3,1,3600,3600,1
1998-01-03T10:00:00Z,4.29588305632273,4.77099990844727,H3,1,3600,3600,1
1998-01-03T11:00:00Z,4.71782111313608,5.58500003814697,H3,1,3600,3600,1
1998-01-03T12:00:00Z,4.8588973221236,5.53000020980835,H3,1,3600,3584,0.9955556
1998-01-03T13:00:00Z,4.89299498860183,5.32299995422363,H3,1,3600,3592,0.9977778
1998-01-03T14:00:00Z,4.72326224776844,5.22599983215332,H3,1,3600,3592,0.9977778
1998-01-03T15:00:00Z,4.73257861124145,5.1729998588562,H3,1,3600,3600,1
1998-01-03T16:00:00Z,4.78550556653857,5.28700017929077,H3,1,3600,3592,0.9977778
1998-01-03T17:00:00Z,4.72444361064169,5.42700004577637,H3,1,3600,3600,1
1998-01-03T18:00:00Z,4.79780722181002,5.24200010299683,H3,1,3600,3600,1
1998-01-03T19:00:00Z,4.41658360812399,4.88700008392334,H3,1,3600,3600,1
1998-01-03T20:00:00Z,4.55491787566905,4.89200019836426,H3,1,3600,3592,0.9977778
1998-01-03T21:00:00Z,4.80393638888995,5.05399990081787,H3,1,3600,3600,1
1998-01-03T22:00:00Z,4.87049971938133,5.15999984741211,H3,1,3600,3600,1
1998-01-03T23:00:00Z,4.89170768120241,5.33799982070923,H3,1,3600,3592,0.9977778
1998-01-04T00:00:00Z,5.20332444482379,5.94700002670288,H3,1,3600,3600,1
1998-01-04T01:00:00Z,5.47244320932635,6.10200023651123,H3,1,3600,3592,0.9977778
1998-01-04T02:00:00Z,5.21912583881723,5.53800010681152,H3,1,3600,3584,0.9955556
1998-01-04T03:00:00Z,5.19149416883787,5.75,H3,1,3600,3600,1
1998-01-04T04:00:00Z,5.75111386691011,6.11100006103516,H3,1,3600,3592,0.9977778
1998-01-04T05:00:00Z,5.85080916722616,6.21299982070923,H3,1,3600,3600,1
1998-01-04T06:00:00Z,5.75051531281928,6.26100015640259,H3,1,3600,3592,0.9977778
1998-01-04T07:00:00Z,5.44896839905539,6.09499979019165,H3,1,3600,3544,0.9844444
1998-01-04T08:00:00Z,5.23690701991253,6.16599988937378,H3,1,3600,3592,0.9977778
1998-01-04T09:00:00Z,6.2163176512831,7.37200021743774,H3,1,3600,3592,0.9977778
1998-01-04T10:00:00Z,6.85940666437149,7.55100011825562,H3,1,3600,3600,1
1998-01-04T11:00:00Z,6.70907015258857,7.625,H3,1,3600,3592,0.9977778
1998-01-04T12:00:00Z,6.72164388842053,7.52799987792969,H3,1,3600,3600,1
1998-01-04T13:00:00Z,6.63798158948443,7.57100009918213,H3,1,3600,3584,0.9955556
1998-01-04T14:00:00Z,6.75837947311551,7.61999988555908,H3,1,3600,3576,0.9933333
1998-01-04T15:00:00Z,7.07076586819438,7.81500005722046,H3,1,3600,3592,0.9977778
1998-01-04T16:00:00Z,6.59281584899873,7.67899990081787,H3,1,3600,3584,0.9955556
1998-01-04T17:00:00Z,5.71023301823368,6.4850001335144,H3,1,3600,3592,0.9977778
1998-01-04T18:00:00Z,4.99366333140267,5.61399984359741,H3,1,3600,3600,1
1998-01-04T19:00:00Z,5.53454185530011,6.27699995040894,H3,1,3600,3584,0.9955556
1998-01-04T20:00:00Z,5.80236077148999,6.41699981689453,H3,1,3600,3584,0.9955556
1998-01-04T21:00:00Z,5.53173472152816,6.55999994277954,H3,1,3600,3600,1
1998-01-04T22:00:00Z,4.78253124601075,5.16099977493286,H3,1,3600,3584,0.9955556
1998-01-04T23:00:00Z,4.53925669446055,4.8899998664856,H3,1,3600,3584,0.9955556
1998-01-05T00:00:00Z,4.27383454203872,4.64699983596802,H3,1,3600,3584,0.9955556
1998-01-05T01:00:00Z,4.14308971954717,4.32499980926514,H3,1,3600,3600,1
1998-01-05T02:00:00Z,4.10000111579362,4.4210000038147,H3,1,3600,3576,0.9933333
1998-01-05T03:00:00Z,4.23628110916358,4.58199977874756,H3,1,3600,3568,0.9911111
1998-01-05T04:00:00Z,4.19051484957404,4.56099987030029,H3,1,3600,3568,0.9911111
1998-01-05T05:00:00Z,4.42149999678002,4.97499990463257,H3,1,3600,3592,0.9977778
1998-01-05T06:00:00Z,4.58471444620027,5.10599994659424,H3,1,3600,3600,1
1998-01-05T07:00:00Z,4.71386609085419,5.44999980926514,H3,1,3600,3592,0.9977778
1998-01-05T08:00:00Z,5.53882833441099,7.22200012207031,H3,1,3600,3600,1
1998-01-05T09:00:00Z,6.68547055615319,7.26700019836426,H3,1,3600,3600,1
1998-01-05T10:00:00Z,6.22039269543766,7.24700021743774,H3,1,3600,3560,0.9888889
1998-01-05T11:00:00Z,5.89119777520498,6.53000020980835,H3,1,3600,3600,1
1998-01-05T12:00:00Z,6.08575138754315,6.62200021743774,H3,1,3600,3600,1
1998-01-05T13:00:00Z,5.36110909056983,6.20800018310547,H3,1,3600,3584,0.9955556
1998-01-05T14:00:00Z,4.75915444413821,5.78299999237061,H3,1,3600,3600,1
1998-01-05T15:00:00Z,4.25739470694785,4.79899978637695,H3,1,3600,3552,0.9866667
1998-01-05T16:00:00Z,4.61501805742582,5.06500005722046,H3,1,3600,3600,1
1998-01-05T17:00:00Z,4.26024161068264,4.69600009918213,H3,1,3600,3518,0.9772222
1998-01-05T18:00:00Z,NaN,NaN,H3,1,3600,0,0
1998-01-05T19:00:00Z,NaN,NaN,H3,1,3600,0,0
1998-01-05T20:00:00Z,NaN,NaN,H3,1,3600,0,0
1998-01-05T21:00:00Z,NaN,NaN,H3,1,3600,0,0
1998-01-05T22:00:00Z,5.29196545078196,5.84200000762939,H3,1,3600,1071,0.2975
1998-01-05T23:00:00Z,5.57282583196958,6.85799980163574,H3,1,3600,3600,1
1998-01-06T00:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-06T01:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-06T02:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-06T03:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-06T04:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-06T05:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-06T06:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-06T07:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-06T08:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-06T09:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-06T10:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-06T11:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-06T12:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-06T13:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-06T14:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-06T15:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-06T16:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-06T17:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-06T18:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-06T19:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-06T20:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-06T21:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-06T22:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-06T23:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-07T00:00:00Z,14.341035563151,15.8690004348755,H0,4,225,225,1
1998-01-07T01:00:00Z,14.944222217136,15.9589996337891,H0,4,225,225,1
1998-01-07T02:00:00Z,16.2973510784573,17.4440002441406,H0,4,225,225,1
1998-01-07T03:00:00Z,16.5389244588216,16.9330005645752,H0,4,225,225,1
1998-01-07T04:00:00Z,16.7894578297933,17.1420001983643,H0,4,225,225,1
1998-01-07T05:00:00Z,17.1964000193278,17.3819999694824,H0,4,225,225,1
1998-01-07T06:00:00Z,17.1605066257053,17.451000213623,H0,4,225,225,1
1998-01-07T07:00:00Z,17.6598756069607,17.9899997711182,H0,4,225,225,1
1998-01-07T08:00:00Z,17.7591244930691,18.1459999084473,H0,4,225,225,1
1998-01-07T09:00:00Z,17.9504755486382,18.2870006561279,H0,4,225,225,1
1998-01-07T10:00:00Z,17.9868355645074,18.3999996185303,H0,4,225,225,1
1998-01-07T11:00:00Z,17.7954755571153,18.5620002746582,H0,4,225,225,1
1998-01-07T12:00:00Z,18.2046933322483,18.431999206543,H0,4,225,225,1
1998-01-07T13:00:00Z,17.9313378228082,18.3390007019043,H0,4,225,225,1
1998-01-07T14:00:00Z,17.6759910753038,18.0179996490479,H0,4,225,225,1
1998-01-07T15:00:00Z,17.2308355882433,17.5699996948242,H0,4,225,225,1
1998-01-07T16:00:00Z,16.6933110639784,17.2649993896484,H0,4,225,225,1
1998-01-07T17:00:00Z,16.3188933224148,16.488000869751,H0,4,225,225,1
1998-01-07T18:00:00Z,16.2288177490234,16.6119995117188,H0,4,225,225,1
1998-01-07T19:00:00Z,15.8431022135417,16.1940002441406,H0,4,225,225,1
1998-01-07T20:00:00Z,15.3340400399102,16.7959995269775,H0,4,225,225,1
1998-01-07T21:00:00Z,14.9496044201321,15.1409997940063,H0,4,225,225,1
1998-01-07T22:00:00Z,14.9287866422865,15.1949996948242,H0,4,225,225,1
1998-01-07T23:00:00Z,14.8193733639187,15.4029998779297,H0,4,225,225,1
1998-01-08T00:00:00Z,14.4267333475749,14.6960000991821,H0,4,225,225,1
1998-01-08T01:00:00Z,14.1487021976047,14.3809995651245,H0,4,225,225,1
1998-01-08T02:00:00Z,14.0954889000787,14.3210000991821,H0,4,225,225,1
1998-01-08T03:00:00Z,14.0345688925849,14.2799997329712,H0,4,225,225,1
1998-01-08T04:00:00Z,13.8160755199856,13.9610004425049,H0,4,225,225,1
1998-01-08T05:00:00Z,13.5470444488525,13.9329996109009,H0,4,225,225,1
1998-01-08T06:00:00Z,13.3966133753459,13.6219997406006,H0,4,225,225,1
1998-01-08T07:00:00Z,13.034213341607,13.6059999465942,H0,4,225,225,1
1998-01-08T08:00:00Z,11.8525155300564,13.0880002975464,H0,4,225,225,1
1998-01-08T09:00:00Z,9.02931112925212,11.6499996185303,H0,4,225,225,1
1998-01-08T10:00:00Z,9.54739997439914,10.4739999771118,H0,4,225,225,1
1998-01-08T11:00:00Z,8.38050222184923,10.1330003738403,H0,4,225,225,1
1998-01-08T12:00:00Z,6.9374800131056,7.71400022506714,H0,4,225,225,1
1998-01-08T13:00:00Z,5.01260888205634,6.59700012207031,H0,4,225,225,1
1998-01-08T14:00:00Z,5.17764887068007,6.39499998092651,H0,4,225,225,1
1998-01-08T15:00:00Z,5.48596000512441,7.09899997711182,H0,4,225,225,1
1998-01-08T16:00:00Z,6.37113778326246,8.34099960327148,H0,4,225,225,1
1998-01-08T17:00:00Z,9.68803556654188,10.9300003051758,H0,4,225,225,1
1998-01-08T18:00:00Z,11.1945466783312,11.8409996032715,H0,4,225,225,1
1998-01-08T19:00:00Z,11.5743021859063,12.0260000228882,H0,4,225,225,1
1998-01-08T20:00:00Z,11.7613511021932,12.4969997406006,H0,4,225,225,1
1998-01-08T21:00:00Z,11.6870177756415,13.581000328064,H0,4,225,225,1
1998-01-08T22:00:00Z,10.7215822241041,12.5550003051758,H0,4,225,225,1
1998-01-08T23:00:00Z,8.88376000987159,12.2040004730225,H0,4,225,225,1
1998-01-09T00:00:00Z,12.1973688719008,12.7609996795654,H0,4,225,225,1
1998-01-09T01:00:00Z,10.5221244261,12.2119998931885,H0,4,225,225,1
1998-01-09T02:00:00Z,8.11567557864719,10.7709999084473,H0,4,225,225,1
1998-01-09T03:00:00Z,6.18692444430457,7.86600017547607,H0,4,225,225,1
1998-01-09T04:00:00Z,5.80109334627787,6.65100002288818,H0,4,225,225,1
1998-01-09T05:00:00Z,6.28638665941026,7.40500020980835,H0,4,225,225,1
1998-01-09T06:00:00Z,6.54243554009332,7.09999990463257,H0,4,225,225,1
1998-01-09T07:00:00Z,6.48010222540961,7.16900014877319,H0,4,225,225,1
1998-01-09T08:00:00Z,6.88043111165365,7.51900005340576,H0,4,225,225,1
1998-01-09T09:00:00Z,7.09240444395277,7.86999988555908,H0,4,225,225,1
1998-01-09T10:00:00Z,6.80391556421916,7.76000022888184,H0,4,225,225,1
1998-01-09T11:00:00Z,6.41125778198242,7.17500019073486,H0,4,225,225,1
1998-01-09T12:00:00Z,6.82359556410048,7.30900001525879,H0,4,225,225,1
1998-01-09T13:00:00Z,6.65533777236938,7.13700008392334,H0,4,225,225,1
1998-01-09T14:00:00Z,6.87983111487495,7.50299978256226,H0,4,225,225,1
1998-01-09T15:00:00Z,6.81918222427368,7.14599990844727,H0,4,225,225,1
1998-01-09T16:00:00Z,6.75468898389898,7.08199977874756,H0,4,225,209,0.9288889
1998-01-09T17:00:00Z,6.14038222206963,6.59499979019165,H0,4,225,225,1
1998-01-09T18:00:00Z,6.53059112336901,6.9980001449585,H0,4,225,225,1
1998-01-09T19:00:00Z,7.44784889645047,7.64499998092651,H0,4,225,225,1
1998-01-09T20:00:00Z,6.99504444970025,7.70699977874756,H0,4,225,225,1
1998-01-09T21:00:00Z,5.84822223133511,6.89499998092651,H0,4,225,225,1
1998-01-09T22:00:00Z,6.52271554946899,6.92700004577637,H0,4,225,225,1
1998-01-09T23:00:00Z,5.65240889867147,6.47900009155273,H0,4,225,225,1
1998-01-10T00:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-10T01:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-10T02:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-10T03:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-10T04:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-10T05:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-10T06:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-10T07:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-10T08:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-10T09:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-10T10:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-10T11:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-10T12:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-10T13:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-10T14:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-10T15:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-10T16:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-10T17:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-10T18:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-10T19:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-10T20:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-10T21:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-10T22:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-10T23:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-11T00:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-11T01:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-11T02:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-11T03:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-11T04:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-11T05:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-11T06:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-11T07:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-11T08:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-11T09:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-11T10:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-11T11:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-11T12:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-11T13:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-11T14:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-11T15:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-11T16:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-11T17:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-11T18:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-11T19:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-11T20:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-11T21:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-11T22:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-11T23:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-12T00:00:00Z,5.26052446577284,5.4689998626709,H0,4,225,225,1
1998-01-12T01:00:00Z,4.79530667410956,5.12400007247925,H0,4,225,225,1
1998-01-12T02:00:00Z,4.00735999955071,4.77799987792969,H0,4,225,225,1
1998-01-12T03:00:00Z,3.93692000495063,4.88700008392334,H0,4,225,225,1
1998-01-12T04:00:00Z,4.40497778362698,5.15700006484985,H0,4,225,225,1
1998-01-12T05:00:00Z,5.09978665563795,6.18100023269653,H0,4,225,225,1
1998-01-12T06:00:00Z,5.44430667029487,6.03399991989136,H0,4,225,225,1
1998-01-12T07:00:00Z,6.31281334135267,7.9229998588562,H0,4,225,225,1
1998-01-12T08:00:00Z,6.66636445469326,8.13899993896484,H0,4,225,225,1
1998-01-12T09:00:00Z,7.13547555923462,8.23799991607666,H0,4,225,225,1
1998-01-12T10:00:00Z,6.05550223244561,6.98099994659424,H0,4,225,225,1
1998-01-12T11:00:00Z,5.55946875470025,6.15299987792969,H0,4,225,224,0.9955556
1998-01-12T12:00:00Z,5.3717600080702,6.00400018692017,H0,4,225,225,1
1998-01-12T13:00:00Z,5.34093274343174,7.35099983215332,H0,4,225,223,0.9911111
1998-01-12T14:00:00Z,7.02702665964762,7.83199977874756,H0,4,225,225,1
1998-01-12T15:00:00Z,5.38008888244629,6.16300010681152,H0,4,225,225,1
1998-01-12T16:00:00Z,4.91488002353244,6.09100008010864,H0,4,225,225,1
1998-01-12T17:00:00Z,5.38948441611396,6.03200006484985,H0,4,225,225,1
1998-01-12T18:00:00Z,5.04519642250879,5.64499998092651,H0,4,225,224,0.9955556
1998-01-12T19:00:00Z,4.98914221869575,5.30600023269653,H0,4,225,225,1
1998-01-12T20:00:00Z,5.1612044482761,5.41900014877319,H0,4,225,225,1
1998-01-12T21:00:00Z,5.10008887396918,5.31699991226196,H0,4,225,225,1
1998-01-12T22:00:00Z,5.18250221252441,5.5939998626709,H0,4,225,225,1
1998-01-12T23:00:00Z,5.40688890669081,5.71700000762939,H0,4,225,225,1
1998-01-13T00:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-13T01:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-13T02:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-13T03:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-13T04:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-13T05:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-13T06:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-13T07:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-13T08:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
1998-01-13T09:00:00Z,NaN,NaN,MISSING,0,0,0,NaN
