DateUTC,Source,SourceVersion,SourceFile,N_valid_day,Status
1998-01-01,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1998\01\ac_h0_mfi_19980101_v04.cdf,5398,H0_SELECTED_H3_UNUSABLE
1998-01-02,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1998\01\ac_h0_mfi_19980102_v04.cdf,5400,H0_SELECTED_H3_UNUSABLE
1998-01-03,H3,1,Z:\SPART-WORK\Data\ACE\ace\mfi\h3\l2\1998\01\ac_h3_mfi_19980103_v01.cdf,86336,H3_SELECTED
1998-01-04,H3,1,Z:\SPART-WORK\Data\ACE\ace\mfi\h3\l2\1998\01\ac_h3_mfi_19980104_v01.cdf,86144,H3_SELECTED
1998-01-05,H3,1,Z:\SPART-WORK\Data\ACE\ace\mfi\h3\l2\1998\01\ac_h3_mfi_19980105_v01.cdf,69165,H3_SELECTED
1998-01-06,MISSING,0,,0,NO_USABLE_FILE
1998-01-07,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1998\01\ac_h0_mfi_19980107_v04.cdf,5400,H0_SELECTED_H3_UNUSABLE
1998-01-08,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1998\01\ac_h0_mfi_19980108_v04.cdf,5400,H0_SELECTED_H3_UNUSABLE
1998-01-09,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1998\01\ac_h0_mfi_19980109_v04.cdf,5384,H0_SELECTED_H3_UNUSABLE
1998-01-10,MISSING,0,,0,NO_USABLE_FILE
1998-01-11,MISSING,0,,0,NO_USABLE_FILE
1998-01-12,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1998\01\ac_h0_mfi_19980112_v04.cdf,5396,H0_SELECTED_H3_UNUSABLE
1998-01-13,MISSING,0,,0,NO_USABLE_FILE
1998-01-14,MISSING,0,,0,NO_USABLE_FILE
1998-01-15,MISSING,0,,0,NO_USABLE_FILE
1998-01-16,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1998\01\ac_h0_mfi_19980116_v04.cdf,5382,H0_SELECTED_H3_UNUSABLE
1998-01-17,MISSING,0,,0,NO_USABLE_FILE
1998-01-18,MISSING,0,,0,NO_USABLE_FILE
1998-01-19,MISSING,0,,0,NO_USABLE_FILE
1998-01-20,MISSING,0,,0,NO_USABLE_FILE
1998-01-21,MISSING,0,,0,NO_USABLE_FILE
1998-01-22,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1998\01\ac_h0_mfi_19980122_v04.cdf,5399,H0_SELECTED_H3_UNUSABLE
1998-01-23,MISSING,0,,0,NO_USABLE_FILE
1998-01-24,MISSING,0,,0,NO_USABLE_FILE
1998-01-25,MISSING,0,,0,NO_USABLE_FILE
1998-01-26,MISSING,0,,0,NO_USABLE_FILE
1998-01-27,MISSING,0,,0,NO_USABLE_FILE
1998-01-28,H3,1,Z:\SPART-WORK\Data\ACE\ace\mfi\h3\l2\1998\01\ac_h3_mfi_19980128_v01.cdf,86232,H3_SELECTED
1998-01-29,MISSING,0,,0,NO_USABLE_FILE
1998-01-30,MISSING,0,,0,NO_USABLE_FILE
1998-01-31,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1998\01\ac_h0_mfi_19980131_v04.cdf,5396,H0_SELECTED_H3_UNUSABLE
1998-02-01,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1998\02\ac_h0_mfi_19980201_v04.cdf,5397,H0_SELECTED_H3_UNUSABLE
1998-02-02,H0,4,Z:\SPART-WORK\Data\ACE\ace\mfi\h0\l2\1998\02\ac_h0_mfi_19980202_v04.cdf,5395,H0_SELECTED_H3_UNUSABLE
