EventID,StartUTC,EndUTCInclusive,EndUTCExclusive,Spacecraft,SourceSlide,SourceLine
Case1-S01-L01,2020-05-22,2020-05-22,2020-05-23,1,1,1
Case1-S01-L02,2020-09-23,2020-09-23,2020-09-24,1,1,2
Case1-S01-L03,2020-12-06,2020-12-06,2020-12-07,1,1,3
Case1-S02-L01,2018-01-08,2018-01-08,2018-01-09,1,2,1
Case1-S02-L02,2018-02-02,2018-02-02,2018-02-03,1,2,2
Case1-S02-L03,2018-04-24,2018-04-24,2018-04-25,1,2,3
Case1-S02-L04,2018-07-07,2018-07-07,2018-07-08,1,2,4
Case1-S02-L05,2018-08-03,2018-08-03,2018-08-04,1,2,5
Case1-S02-L06,2018-08-23,2018-08-23,2018-08-24,1,2,6
Case1-S02-L07,2018-10-30,2018-10-30,2018-10-31,1,2,7
Case1-S02-L08,2018-11-10,2018-11-10,2018-11-11,1,2,8
Case1-S02-L09,2018-12-12,2018-12-12,2018-12-13,1,2,9
Case1-S03-L01,2019-05-02,2019-05-02,2019-05-03,1,3,1
Case1-S03-L02,2019-05-27,2019-05-27,2019-05-28,1,3,2
Case1-S03-L03,2019-05-30,2019-05-30,2019-05-31,1,3,3
Case1-S03-L04,2019-06-13,2019-06-13,2019-06-14,1,3,4
Case1-S03-L05,2019-06-24,2019-06-24,2019-06-25,1,3,5
Case1-S03-L06,2019-08-26,2019-08-26,2019-08-27,1,3,6
Case1-S04-L01,2021-01-06,2021-01-06,2021-01-07,1,4,1
Case1-S04-L02,2021-05-06,2021-05-06,2021-05-07,1,4,2
Case1-S04-L03,2021-05-17,2021-05-17,2021-05-18,1,4,3
Case1-S05-L01,2017-01-15,2017-01-15,2017-01-16,1,5,1
Case1-S05-L02,2017-05-24,2017-05-24,2017-05-25,1,5,2
Case1-S05-L03,2017-07-18,2017-07-18,2017-07-19,1,5,3
Case1-S05-L04,2017-08-15,2017-08-15,2017-08-16,1,5,4
Case1-S05-L05,2017-09-16,2017-09-16,2017-09-17,1,5,5
Case1-S05-L06,2017-10-10,2017-10-10,2017-10-11,1,5,6
Case1-S05-L07,2017-12-06,2017-12-06,2017-12-07,1,5,7
Case1-S06-L01,2016-09-13,2016-09-13,2016-09-14,1,6,1
Case1-S06-L02,2016-09-22,2016-09-22,2016-09-23,1,6,2
Case1-S07-L01,2015-03-04,2015-03-04,2015-03-05,1,7,1
Case1-S07-L02,2015-10-04,2015-10-04,2015-10-05,1,7,2
Case1-S07-L03,2015-10-13,2015-10-13,2015-10-14,1,7,3
Case1-S07-L04,2015-12-19,2015-12-19,2015-12-20,1,7,4
Case1-S07-L05,2015-12-28,2015-12-28,2015-12-29,1,7,5
Case1-S08-L01,2014-04-17,2014-04-17,2014-04-18,1,8,1
Case1-S08-L02,2014-05-21,2014-05-21,2014-05-22,1,8,2
Case1-S08-L03,2014-08-12,2014-08-12,2014-08-13,1,8,3
Case1-S08-L04,2014-08-28,2014-08-28,2014-08-29,1,8,4
Case1-S08-L05,2014-09-21,2014-09-21,2014-09-22,1,8,5
Case1-S08-L06,2014-12-13,2014-12-13,2014-12-14,1,8,6
Case1-S09-L01,2013-01-09,2013-01-09,2013-01-10,1,9,1
Case1-S09-L02,2013-05-30,2013-05-30,2013-05-31,1,9,2
Case1-S09-L03,2013-09-11,2013-09-11,2013-09-12,1,9,3
Case1-S09-L04,2013-12-29,2013-12-29,2013-12-30,1,9,4
