Spacecraft,EventID,EventStartUTC,EventEndUTCInclusive,PlotStartUTC,PlotEndUTCExclusive,MAG1hSourceFileCount,MAG1hRecords,MAGDailyMeanDays,COHOSourceFileCount,COHORecords,DirectPlasmaVariables,FigureFile,PitchAngleDataFile,Status,Notes
1,Case1-S01-L01,2020-05-22,2020-05-22,2020-05-15,2020-05-30,1,113,14,1,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S01-L01_20200522_20200522_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S01-L01_20200522_20200522_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
1,Case1-S01-L02,2020-09-23,2020-09-23,2020-09-16,2020-10-01,1,106,15,1,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S01-L02_20200923_20200923_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S01-L02_20200923_20200923_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
1,Case1-S01-L03,2020-12-06,2020-12-06,2020-11-29,2020-12-14,2,103,15,2,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S01-L03_20201206_20201206_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S01-L03_20201206_20201206_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
1,Case1-S02-L01,2018-01-08,2018-01-08,2018-01-01,2018-01-16,1,111,15,1,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S02-L01_20180108_20180108_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S02-L01_20180108_20180108_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
1,Case1-S02-L02,2018-02-02,2018-02-02,2018-01-26,2018-02-10,2,130,15,2,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S02-L02_20180202_20180202_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S02-L02_20180202_20180202_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
1,Case1-S02-L03,2018-04-24,2018-04-24,2018-04-17,2018-05-02,2,103,15,2,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S02-L03_20180424_20180424_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S02-L03_20180424_20180424_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
1,Case1-S02-L04,2018-07-07,2018-07-07,2018-06-30,2018-07-15,2,83,14,2,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S02-L04_20180707_20180707_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S02-L04_20180707_20180707_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
1,Case1-S02-L05,2018-08-03,2018-08-03,2018-07-27,2018-08-11,2,84,15,2,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S02-L05_20180803_20180803_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S02-L05_20180803_20180803_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
1,Case1-S02-L06,2018-08-23,2018-08-23,2018-08-16,2018-08-31,1,95,15,1,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S02-L06_20180823_20180823_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S02-L06_20180823_20180823_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
1,Case1-S02-L07,2018-10-30,2018-10-30,2018-10-23,2018-11-07,2,88,14,2,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S02-L07_20181030_20181030_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S02-L07_20181030_20181030_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
