Spacecraft,MonthUTC,DataStartUTC,DataEndUTC,SourceCDF,EpochRecords,MagneticRecords,PlasmaRecords,LECPChannels,LECPValidValues,CRSChannels,CRSValidValues,OriginalInstrumentValuesOnly,GeneratedOrInterpolatedValues,FigureFile,Status,Notes
1,2012-08-01,2012-08-25,2012-09-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2012\08\voyager1_coho1hr_merged_mag_plasma_20120801_v01.cdf,168,70,0,3,204,15,1800,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2012-08.png,ok,
1,2012-09-01,2012-09-01,2012-10-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2012\09\voyager1_coho1hr_merged_mag_plasma_20120901_v01.cdf,720,281,0,3,851,15,8010,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2012-09.png,ok,
1,2012-10-01,2012-10-01,2012-11-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2012\10\voyager1_coho1hr_merged_mag_plasma_20121001_v01.cdf,744,218,0,3,636,15,5670,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2012-10.png,ok,
1,2012-11-01,2012-11-01,2012-12-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2012\11\voyager1_coho1hr_merged_mag_plasma_20121101_v01.cdf,720,151,0,3,496,15,5220,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2012-11.png,ok,
1,2012-12-01,2012-12-01,2013-01-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2012\12\voyager1_coho1hr_merged_mag_plasma_20121201_v01.cdf,744,219,0,3,674,15,5490,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2012-12.png,ok,
1,2013-01-01,2013-01-01,2013-02-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\01\voyager1_coho1hr_merged_mag_plasma_20130101_v01.cdf,744,255,0,3,763,15,7830,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2013-01.png,ok,
1,2013-02-01,2013-02-01,2013-03-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\02\voyager1_coho1hr_merged_mag_plasma_20130201_v01.cdf,672,276,0,3,806,15,6930,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2013-02.png,ok,
1,2013-03-01,2013-03-01,2013-04-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\03\voyager1_coho1hr_merged_mag_plasma_20130301_v01.cdf,744,353,0,3,1078,15,8370,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2013-03.png,ok,
1,2013-04-01,2013-04-01,2013-05-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\04\voyager1_coho1hr_merged_mag_plasma_20130401_v01.cdf,720,431,0,3,1187,15,9180,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2013-04.png,ok,
1,2013-05-01,2013-05-01,2013-06-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\05\voyager1_coho1hr_merged_mag_plasma_20130501_v01.cdf,744,499,0,3,1410,15,10800,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2013-05.png,ok,
1,2013-06-01,2013-06-01,2013-07-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\06\voyager1_coho1hr_merged_mag_plasma_20130601_v01.cdf,720,437,0,3,1136,15,9090,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2013-06.png,ok,
1,2013-07-01,2013-07-01,2013-08-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\07\voyager1_coho1hr_merged_mag_plasma_20130701_v01.cdf,744,401,0,3,867,15,8190,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2013-07.png,ok,
1,2013-08-01,2013-08-01,2013-09-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\08\voyager1_coho1hr_merged_mag_plasma_20130801_v01.cdf,744,345,0,3,1021,15,8550,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2013-08.png,ok,
1,2013-09-01,2013-09-01,2013-10-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\09\voyager1_coho1hr_merged_mag_plasma_20130901_v01.cdf,720,342,0,3,1023,15,8010,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2013-09.png,ok,
1,2013-10-01,2013-10-01,2013-11-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\10\voyager1_coho1hr_merged_mag_plasma_20131001_v01.cdf,744,330,0,3,865,15,7650,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2013-10.png,ok,
