Spacecraft,YearUTC,DataStartUTC,DataEndUTC,SourceProduct,SourceFileCount,SourceFiles,EpochRecords,MagneticRecords,PlasmaRecords,LECPChannels,LECPValidValues,CRSChannels,CRSValidValues,OriginalInstrumentValuesOnly,GeneratedOrInterpolatedValues,FigureFile,Status,Notes
1,2012-01-01,2012-08-25,2013-01-01,COHO one-hour merged instrument product,12,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2012\01\voyager1_coho1hr_merged_mag_plasma_20120101_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2012\02\voyager1_coho1hr_merged_mag_plasma_20120201_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2012\03\voyager1_coho1hr_merged_mag_plasma_20120301_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2012\04\voyager1_coho1hr_merged_mag_plasma_20120401_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2012\05\voyager1_coho1hr_merged_mag_plasma_20120501_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2012\06\voyager1_coho1hr_merged_mag_plasma_20120601_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2012\07\voyager1_coho1hr_merged_mag_plasma_20120701_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2012\08\voyager1_coho1hr_merged_mag_plasma_20120801_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2012\09\voyager1_coho1hr_merged_mag_plasma_20120901_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2012\10\voyager1_coho1hr_merged_mag_plasma_20121001_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2012\11\voyager1_coho1hr_merged_mag_plasma_20121101_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2012\12\voyager1_coho1hr_merged_mag_plasma_20121201_v01.cdf,3096,939,0,3,2861,15,26190,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Yearly_Raw\V1_COHO1h_raw_2012.png,ok,
1,2013-01-01,2013-01-01,2014-01-01,COHO one-hour merged instrument product,12,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\01\voyager1_coho1hr_merged_mag_plasma_20130101_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\02\voyager1_coho1hr_merged_mag_plasma_20130201_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\03\voyager1_coho1hr_merged_mag_plasma_20130301_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\04\voyager1_coho1hr_merged_mag_plasma_20130401_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\05\voyager1_coho1hr_merged_mag_plasma_20130501_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\06\voyager1_coho1hr_merged_mag_plasma_20130601_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\07\voyager1_coho1hr_merged_mag_plasma_20130701_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\08\voyager1_coho1hr_merged_mag_plasma_20130801_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\09\voyager1_coho1hr_merged_mag_plasma_20130901_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\10\voyager1_coho1hr_merged_mag_plasma_20131001_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\11\voyager1_coho1hr_merged_mag_plasma_20131101_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\12\voyager1_coho1hr_merged_mag_plasma_20131201_v01.cdf,8760,4133,0,3,11461,15,98280,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Yearly_Raw\V1_COHO1h_raw_2013.png,ok,
1,2014-01-01,2014-01-01,2015-01-01,COHO one-hour merged instrument product,12,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\01\voyager1_coho1hr_merged_mag_plasma_20140101_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\02\voyager1_coho1hr_merged_mag_plasma_20140201_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\03\voyager1_coho1hr_merged_mag_plasma_20140301_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\04\voyager1_coho1hr_merged_mag_plasma_20140401_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\05\voyager1_coho1hr_merged_mag_plasma_20140501_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\06\voyager1_coho1hr_merged_mag_plasma_20140601_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\07\voyager1_coho1hr_merged_mag_plasma_20140701_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\08\voyager1_coho1hr_merged_mag_plasma_20140801_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\09\voyager1_coho1hr_merged_mag_plasma_20140901_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\10\voyager1_coho1hr_merged_mag_plasma_20141001_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\11\voyager1_coho1hr_merged_mag_plasma_20141101_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\12\voyager1_coho1hr_merged_mag_plasma_20141201_v01.cdf,8760,3040,0,3,8878,15,77850,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Yearly_Raw\V1_COHO1h_raw_2014.png,ok,
1,2015-01-01,2015-01-01,2016-01-01,COHO one-hour merged instrument product,12,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\01\voyager1_coho1hr_merged_mag_plasma_20150101_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\02\voyager1_coho1hr_merged_mag_plasma_20150201_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\03\voyager1_coho1hr_merged_mag_plasma_20150301_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\04\voyager1_coho1hr_merged_mag_plasma_20150401_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\05\voyager1_coho1hr_merged_mag_plasma_20150501_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\06\voyager1_coho1hr_merged_mag_plasma_20150601_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\07\voyager1_coho1hr_merged_mag_plasma_20150701_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\08\voyager1_coho1hr_merged_mag_plasma_20150801_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\09\voyager1_coho1hr_merged_mag_plasma_20150901_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\10\voyager1_coho1hr_merged_mag_plasma_20151001_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\11\voyager1_coho1hr_merged_mag_plasma_20151101_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\12\voyager1_coho1hr_merged_mag_plasma_20151201_v01.cdf,8760,3149,0,3,9398,15,81720,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Yearly_Raw\V1_COHO1h_raw_2015.png,ok,
1,2016-01-01,2016-01-01,2017-01-01,COHO one-hour merged instrument product,12,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2016\01\voyager1_coho1hr_merged_mag_plasma_20160101_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2016\02\voyager1_coho1hr_merged_mag_plasma_20160201_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2016\03\voyager1_coho1hr_merged_mag_plasma_20160301_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2016\04\voyager1_coho1hr_merged_mag_plasma_20160401_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2016\05\voyager1_coho1hr_merged_mag_plasma_20160501_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2016\06\voyager1_coho1hr_merged_mag_plasma_20160601_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2016\07\voyager1_coho1hr_merged_mag_plasma_20160701_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2016\08\voyager1_coho1hr_merged_mag_plasma_20160801_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2016\09\voyager1_coho1hr_merged_mag_plasma_20160901_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2016\10\voyager1_coho1hr_merged_mag_plasma_20161001_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2016\11\voyager1_coho1hr_merged_mag_plasma_20161101_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2016\12\voyager1_coho1hr_merged_mag_plasma_20161201_v01.cdf,8784,2694,0,3,7829,15,76050,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Yearly_Raw\V1_COHO1h_raw_2016.png,ok,
1,2017-01-01,2017-01-01,2018-01-01,COHO one-hour merged instrument product,12,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2017\01\voyager1_coho1hr_merged_mag_plasma_20170101_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2017\02\voyager1_coho1hr_merged_mag_plasma_20170201_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2017\03\voyager1_coho1hr_merged_mag_plasma_20170301_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2017\04\voyager1_coho1hr_merged_mag_plasma_20170401_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2017\05\voyager1_coho1hr_merged_mag_plasma_20170501_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2017\06\voyager1_coho1hr_merged_mag_plasma_20170601_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2017\07\voyager1_coho1hr_merged_mag_plasma_20170701_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2017\08\voyager1_coho1hr_merged_mag_plasma_20170801_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2017\09\voyager1_coho1hr_merged_mag_plasma_20170901_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2017\10\voyager1_coho1hr_merged_mag_plasma_20171001_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2017\11\voyager1_coho1hr_merged_mag_plasma_20171101_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2017\12\voyager1_coho1hr_merged_mag_plasma_20171201_v01.cdf,8754,3951,0,3,11620,15,92340,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Yearly_Raw\V1_COHO1h_raw_2017.png,ok,
1,2018-01-01,2018-01-01,2019-01-01,COHO one-hour merged instrument product,12,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2018\01\voyager1_coho1hr_merged_mag_plasma_20180101_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2018\02\voyager1_coho1hr_merged_mag_plasma_20180201_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2018\03\voyager1_coho1hr_merged_mag_plasma_20180301_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2018\04\voyager1_coho1hr_merged_mag_plasma_20180401_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2018\05\voyager1_coho1hr_merged_mag_plasma_20180501_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2018\06\voyager1_coho1hr_merged_mag_plasma_20180601_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2018\07\voyager1_coho1hr_merged_mag_plasma_20180701_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2018\08\voyager1_coho1hr_merged_mag_plasma_20180801_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2018\09\voyager1_coho1hr_merged_mag_plasma_20180901_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2018\10\voyager1_coho1hr_merged_mag_plasma_20181001_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2018\11\voyager1_coho1hr_merged_mag_plasma_20181101_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2018\12\voyager1_coho1hr_merged_mag_plasma_20181201_v01.cdf,8760,2300,0,3,6334,15,62460,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Yearly_Raw\V1_COHO1h_raw_2018.png,ok,
1,2019-01-01,2019-01-01,2020-01-01,COHO one-hour merged instrument product,12,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2019\01\voyager1_coho1hr_merged_mag_plasma_20190101_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2019\02\voyager1_coho1hr_merged_mag_plasma_20190201_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2019\03\voyager1_coho1hr_merged_mag_plasma_20190301_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2019\04\voyager1_coho1hr_merged_mag_plasma_20190401_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2019\05\voyager1_coho1hr_merged_mag_plasma_20190501_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2019\06\voyager1_coho1hr_merged_mag_plasma_20190601_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2019\07\voyager1_coho1hr_merged_mag_plasma_20190701_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2019\08\voyager1_coho1hr_merged_mag_plasma_20190801_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2019\09\voyager1_coho1hr_merged_mag_plasma_20190901_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2019\10\voyager1_coho1hr_merged_mag_plasma_20191001_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2019\11\voyager1_coho1hr_merged_mag_plasma_20191101_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2019\12\voyager1_coho1hr_merged_mag_plasma_20191201_v01.cdf,8758,2533,0,3,7167,15,21600,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Yearly_Raw\V1_COHO1h_raw_2019.png,ok,
1,2020-01-01,2020-01-01,2021-01-01,COHO one-hour merged instrument product,12,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2020\01\voyager1_coho1hr_merged_mag_plasma_20200101_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2020\02\voyager1_coho1hr_merged_mag_plasma_20200201_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2020\03\voyager1_coho1hr_merged_mag_plasma_20200301_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2020\04\voyager1_coho1hr_merged_mag_plasma_20200401_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2020\05\voyager1_coho1hr_merged_mag_plasma_20200501_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2020\06\voyager1_coho1hr_merged_mag_plasma_20200601_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2020\07\voyager1_coho1hr_merged_mag_plasma_20200701_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2020\08\voyager1_coho1hr_merged_mag_plasma_20200801_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2020\09\voyager1_coho1hr_merged_mag_plasma_20200901_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2020\10\voyager1_coho1hr_merged_mag_plasma_20201001_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2020\11\voyager1_coho1hr_merged_mag_plasma_20201101_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2020\12\voyager1_coho1hr_merged_mag_plasma_20201201_v01.cdf,8784,2835,0,3,8205,15,77130,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Yearly_Raw\V1_COHO1h_raw_2020.png,ok,
1,2021-01-01,2021-01-01,2022-01-01,COHO one-hour merged instrument product,12,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2021\01\voyager1_coho1hr_merged_mag_plasma_20210101_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2021\02\voyager1_coho1hr_merged_mag_plasma_20210201_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2021\03\voyager1_coho1hr_merged_mag_plasma_20210301_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2021\04\voyager1_coho1hr_merged_mag_plasma_20210401_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2021\05\voyager1_coho1hr_merged_mag_plasma_20210501_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2021\06\voyager1_coho1hr_merged_mag_plasma_20210601_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2021\07\voyager1_coho1hr_merged_mag_plasma_20210701_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2021\08\voyager1_coho1hr_merged_mag_plasma_20210801_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2021\09\voyager1_coho1hr_merged_mag_plasma_20210901_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2021\10\voyager1_coho1hr_merged_mag_plasma_20211001_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2021\11\voyager1_coho1hr_merged_mag_plasma_20211101_v01.cdf;Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2021\12\voyager1_coho1hr_merged_mag_plasma_20211201_v01.cdf,8760,2536,0,3,6115,15,73980,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Yearly_Raw\V1_COHO1h_raw_2021.png,ok,
