EventID,YearUTC,SourceSlide,CircleOrderOnSlide,PPTCircleColor,PPTCircleX_EMU,PPTCircleWidth_EMU,PPTMappedStartUTC,PPTMappedEndUTC,StartUTC,EndUTCInclusive,EndUTCExclusive,SourcePPTX,ExtractionMethod
2013-E01,2013,4,1,accent1,4083801,325465,2013-04-16 03:07:19,2013-05-01 11:06:35,2013-04-16,2013-05-01,2013-05-02,C:\Users\Administrator\.codex\attachments\9277234b-55db-45aa-bd78-7a2eeb200d14\0809.pptx,PPTX vector ellipse x bounds mapped linearly to the annual UTC axis; rounded outward to whole days
2013-E02,2013,4,2,accent1,6052086,325465,2013-07-17 20:34:04,2013-08-02 04:33:20,2013-07-17,2013-08-02,2013-08-03,C:\Users\Administrator\.codex\attachments\9277234b-55db-45aa-bd78-7a2eeb200d14\0809.pptx,PPTX vector ellipse x bounds mapped linearly to the annual UTC axis; rounded outward to whole days
2014-E01,2014,5,1,accent1,3835828,325465,2014-04-04 10:45:03,2014-04-19 18:44:18,2014-04-04,2014-04-19,2014-04-20,C:\Users\Administrator\.codex\attachments\9277234b-55db-45aa-bd78-7a2eeb200d14\0809.pptx,PPTX vector ellipse x bounds mapped linearly to the annual UTC axis; rounded outward to whole days
2015-E01,2015,6,1,accent1,1983782,325465,2015-01-07 04:43:51,2015-01-22 12:43:07,2015-01-07,2015-01-22,2015-01-23,C:\Users\Administrator\.codex\attachments\9277234b-55db-45aa-bd78-7a2eeb200d14\0809.pptx,PPTX vector ellipse x bounds mapped linearly to the annual UTC axis; rounded outward to whole days
2016-E01,2016,7,1,accent1,6827002,325465,2016-08-23 00:08:18,2016-09-07 09:08:04,2016-08-23,2016-09-07,2016-09-08,C:\Users\Administrator\.codex\attachments\9277234b-55db-45aa-bd78-7a2eeb200d14\0809.pptx,PPTX vector ellipse x bounds mapped linearly to the annual UTC axis; rounded outward to whole days
2016-E02,2016,7,2,accent1,9043259,325465,2016-12-05 16:49:11,2016-12-21 01:48:56,2016-12-05,2016-12-21,2016-12-22,C:\Users\Administrator\.codex\attachments\9277234b-55db-45aa-bd78-7a2eeb200d14\0809.pptx,PPTX vector ellipse x bounds mapped linearly to the annual UTC axis; rounded outward to whole days
2017-E01,2017,8,1,accent1,4014061,658678,2017-04-12 20:16:13,2017-05-13 21:00:22,2017-04-12,2017-05-13,2017-05-14,C:\Users\Administrator\.codex\attachments\9277234b-55db-45aa-bd78-7a2eeb200d14\0809.pptx,PPTX vector ellipse x bounds mapped linearly to the annual UTC axis; rounded outward to whole days
2018-E01,2018,9,1,accent1,2247254,565688,2018-01-19 14:37:34,2018-02-15 06:13:21,2018-01-19,2018-02-15,2018-02-16,C:\Users\Administrator\.codex\attachments\9277234b-55db-45aa-bd78-7a2eeb200d14\0809.pptx,PPTX vector ellipse x bounds mapped linearly to the annual UTC axis; rounded outward to whole days
2018-E02,2018,9,2,accent1,2905931,154983,2018-02-19 15:21:38,2018-02-26 22:35:33,2018-02-19,2018-02-26,2018-02-27,C:\Users\Administrator\.codex\attachments\9277234b-55db-45aa-bd78-7a2eeb200d14\0809.pptx,PPTX vector ellipse x bounds mapped linearly to the annual UTC axis; rounded outward to whole days
2018-E03,2018,9,3,accent1,8888277,154983,2018-11-28 11:18:48,2018-12-05 18:32:43,2018-11-28,2018-12-05,2018-12-06,C:\Users\Administrator\.codex\attachments\9277234b-55db-45aa-bd78-7a2eeb200d14\0809.pptx,PPTX vector ellipse x bounds mapped linearly to the annual UTC axis; rounded outward to whole days
2019-E01,2019,10,1,accent1,3246893,325465,2019-03-07 16:52:12,2019-03-23 00:51:28,2019-03-07,2019-03-23,2019-03-24,C:\Users\Administrator\.codex\attachments\9277234b-55db-45aa-bd78-7a2eeb200d14\0809.pptx,PPTX vector ellipse x bounds mapped linearly to the annual UTC axis; rounded outward to whole days
2020-E01,2020,11,1,accent2,6168325,325465,2020-07-22 21:21:49,2020-08-07 06:21:34,2020-07-22,2020-08-07,2020-08-08,C:\Users\Administrator\.codex\attachments\9277234b-55db-45aa-bd78-7a2eeb200d14\0809.pptx,PPTX vector ellipse x bounds mapped linearly to the annual UTC axis; rounded outward to whole days
2020-E02,2020,11,2,accent1,8880528,325465,2020-11-28 00:19:24,2020-12-13 09:19:09,2020-11-28,2020-12-13,2020-12-14,C:\Users\Administrator\.codex\attachments\9277234b-55db-45aa-bd78-7a2eeb200d14\0809.pptx,PPTX vector ellipse x bounds mapped linearly to the annual UTC axis; rounded outward to whole days
2021-E01,2021,12,1,accent1,3316637,286719,2021-03-10 23:43:34,2021-03-24 11:54:21,2021-03-10,2021-03-24,2021-03-25,C:\Users\Administrator\.codex\attachments\9277234b-55db-45aa-bd78-7a2eeb200d14\0809.pptx,PPTX vector ellipse x bounds mapped linearly to the annual UTC axis; rounded outward to whole days
2021-E02,2021,12,2,accent2,5114441,286719,2021-06-03 16:25:02,2021-06-17 04:35:49,2021-06-03,2021-06-17,2021-06-18,C:\Users\Administrator\.codex\attachments\9277234b-55db-45aa-bd78-7a2eeb200d14\0809.pptx,PPTX vector ellipse x bounds mapped linearly to the annual UTC axis; rounded outward to whole days
2022-E01,2022,13,1,accent2,2468104,286719,2022-01-30 00:19:50,2022-02-12 12:30:36,2022-01-30,2022-02-12,2022-02-13,C:\Users\Administrator\.codex\attachments\9277234b-55db-45aa-bd78-7a2eeb200d14\0809.pptx,PPTX vector ellipse x bounds mapped linearly to the annual UTC axis; rounded outward to whole days
