EventID,SourceSlide,PPTCircleColor,StartUTC,EndUTCInclusive,EndUTCExclusive,SourceFileCount,EpochRecords,MagneticRecords,LECPValidValues,CRSValidValues,OriginalInstrumentValuesOnly,GeneratedOrInterpolatedValues,FigureFile,Status,Notes
2013-E01,4,accent1,2013-04-16,2013-05-01,2013-05-02,2,384,231,645,5016,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2013-E01_20130416_20130501_COHO1h_raw.png,ok,
2013-E02,4,accent1,2013-07-17,2013-08-02,2013-08-03,2,408,207,486,4134,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2013-E02_20130717_20130802_COHO1h_raw.png,ok,
2014-E01,5,accent1,2014-04-04,2014-04-19,2014-04-20,1,384,161,435,2976,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2014-E01_20140404_20140419_COHO1h_raw.png,ok,
2015-E01,6,accent1,2015-01-07,2015-01-22,2015-01-23,1,384,152,440,4086,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2015-E01_20150107_20150122_COHO1h_raw.png,ok,
2016-E01,7,accent1,2016-08-23,2016-09-07,2016-09-08,2,384,158,467,3834,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2016-E01_20160823_20160907_COHO1h_raw.png,ok,
2016-E02,7,accent1,2016-12-05,2016-12-21,2016-12-22,1,408,143,409,3942,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2016-E02_20161205_20161221_COHO1h_raw.png,ok,
2017-E01,8,accent1,2017-04-12,2017-05-13,2017-05-14,2,768,495,1436,10002,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2017-E01_20170412_20170513_COHO1h_raw.png,ok,
2018-E01,9,accent1,2018-01-19,2018-02-15,2018-02-16,2,672,224,644,5178,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2018-E01_20180119_20180215_COHO1h_raw.png,ok,
2018-E02,9,accent1,2018-02-19,2018-02-26,2018-02-27,1,192,65,189,1296,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2018-E02_20180219_20180226_COHO1h_raw.png,ok,
2018-E03,9,accent1,2018-11-28,2018-12-05,2018-12-06,2,192,50,60,1404,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2018-E03_20181128_20181205_COHO1h_raw.png,ok,
2019-E01,10,accent1,2019-03-07,2019-03-23,2019-03-24,1,408,183,532,4158,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2019-E01_20190307_20190323_COHO1h_raw.png,ok,
2020-E01,11,accent2,2020-07-22,2020-08-07,2020-08-08,2,408,156,443,3132,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2020-E01_20200722_20200807_COHO1h_raw.png,ok,
2020-E02,11,accent1,2020-11-28,2020-12-13,2020-12-14,2,384,112,315,3366,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2020-E02_20201128_20201213_COHO1h_raw.png,ok,
2021-E01,12,accent1,2021-03-10,2021-03-24,2021-03-25,1,360,105,294,2814,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2021-E01_20210310_20210324_COHO1h_raw.png,ok,
2021-E02,12,accent2,2021-06-03,2021-06-17,2021-06-18,1,360,127,249,2988,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2021-E02_20210603_20210617_COHO1h_raw.png,ok,
2022-E01,13,accent2,2022-01-30,2022-02-12,2022-02-13,2,336,125,235,3240,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2022-E01_20220130_20220212_COHO1h_raw.png,ok,
