EventID,EventStartUTC,EventEndUTCInclusive,PlotStartUTC,PlotEndUTCExclusive,MAG1hSourceFileCount,MAG1hRecords,MAGDailyMeanDays,COHOSourceFileCount,COHORecords,DirectPlasmaVariables,FigureFile,Status,Notes
2013-E01,2013-04-16,2013-05-01,2013-03-16,2013-06-02,4,1142,78,4,1872,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2013-E01_20130416_20130501_COHO1h_raw.png,ok,
2013-E02,2013-07-17,2013-08-02,2013-06-17,2013-09-03,4,987,75,4,1872,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2013-E02_20130717_20130802_COHO1h_raw.png,ok,
2014-E01,2014-04-04,2014-04-19,2014-03-04,2014-05-20,3,751,75,3,1848,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2014-E01_20140404_20140419_COHO1h_raw.png,ok,
2015-E01,2015-01-07,2015-01-22,2014-12-07,2015-02-23,3,628,73,3,1872,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2015-E01_20150107_20150122_COHO1h_raw.png,ok,
2016-E01,2016-08-23,2016-09-07,2016-07-23,2016-10-08,4,539,76,4,1848,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2016-E01_20160823_20160907_COHO1h_raw.png,ok,
2016-E02,2016-12-05,2016-12-21,2016-11-05,2017-01-22,3,666,77,3,1872,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2016-E02_20161205_20161221_COHO1h_raw.png,ok,
2017-E01,2017-04-12,2017-05-13,2017-03-12,2017-06-14,4,1305,94,4,2256,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2017-E01_20170412_20170513_COHO1h_raw.png,ok,
2018-E01,2018-01-19,2018-02-15,2017-12-19,2018-03-16,4,649,86,4,2082,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2018-E01_20180119_20180215_COHO1h_raw.png,ok,
2018-E02,2018-02-19,2018-02-26,2018-01-19,2018-03-27,3,501,67,3,1608,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2018-E02_20180219_20180226_COHO1h_raw.png,ok,
2018-E03,2018-11-28,2018-12-05,2018-10-28,2019-01-06,4,479,69,4,1680,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2018-E03_20181128_20181205_COHO1h_raw.png,ok,
2019-E01,2019-03-07,2019-03-23,2019-02-07,2019-04-24,3,682,76,3,1824,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2019-E01_20190307_20190323_COHO1h_raw.png,ok,
2020-E01,2020-07-22,2020-08-07,2020-06-22,2020-09-08,4,653,77,4,1872,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2020-E01_20200722_20200807_COHO1h_raw.png,ok,
2020-E02,2020-11-28,2020-12-13,2020-10-28,2021-01-14,4,501,71,4,1872,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2020-E02_20201128_20201213_COHO1h_raw.png,ok,
2021-E01,2021-03-10,2021-03-24,2021-02-10,2021-04-25,3,575,73,3,1776,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2021-E01_20210310_20210324_COHO1h_raw.png,ok,
2021-E02,2021-06-03,2021-06-17,2021-05-03,2021-07-18,3,659,76,3,1824,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2021-E02_20210603_20210617_COHO1h_raw.png,ok,
2022-E01,2022-01-30,2022-02-12,2021-12-30,2022-03-13,4,603,73,4,1752,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Voyager1_Selected_Events_1h\V1_2022-E01_20220130_20220212_COHO1h_raw.png,ok,
