Spacecraft,MonthUTC,DataStartUTC,DataEndUTC,Status,MAGFile,MAGRecords,PLSFile,PLSRecords,COHOFile,PlasmaRecords,LECPChannels,LECPValidValues,CRSChannels,CRSValidValues,FigureFile,Notes,MAGLowPrecisionFilled,MAGInterpolated,COHOInterpolated
1,2012-08-01,2012-08-25,2012-09-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2012\voyager1_48s_mag-vim_20120101_v01.cdf,4237,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2012\08\voyager1_coho1hr_merged_mag_plasma_20120801_v01.cdf,0,3,204,15,1800,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2012\Voyager1_VLISM_2012-08.png,,33176,0,1510
1,2012-09-01,2012-09-01,2012-10-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2012\voyager1_48s_mag-vim_20120101_v01.cdf,16391,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2012\09\voyager1_coho1hr_merged_mag_plasma_20120901_v01.cdf,0,3,851,15,8010,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2012\Voyager1_VLISM_2012-09.png,,149272,0,6294
1,2012-10-01,2012-10-01,2012-11-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2012\voyager1_48s_mag-vim_20120101_v01.cdf,12178,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2012\10\voyager1_coho1hr_merged_mag_plasma_20121001_v01.cdf,0,3,636,15,5670,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2012\Voyager1_VLISM_2012-10.png,,173312,0,9716
1,2012-11-01,2012-11-01,2012-12-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2012\voyager1_48s_mag-vim_20120101_v01.cdf,7906,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2012\11\voyager1_coho1hr_merged_mag_plasma_20121101_v01.cdf,0,3,496,15,5220,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2012\Voyager1_VLISM_2012-11.png,,183304,0,10089
1,2012-12-01,2012-12-01,2013-01-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2012\voyager1_48s_mag-vim_20120101_v01.cdf,12474,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2012\12\voyager1_coho1hr_merged_mag_plasma_20121201_v01.cdf,0,3,674,15,5490,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2012\Voyager1_VLISM_2012-12.png,,172224,0,9853
1,2013-01-01,2013-01-01,2013-02-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2013\voyager1_48s_mag-vim_20130101_v01.cdf,15095,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\01\voyager1_coho1hr_merged_mag_plasma_20130101_v01.cdf,0,3,763,15,7830,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2013\Voyager1_VLISM_2013-01.png,,161492,0,7244
1,2013-02-01,2013-02-01,2013-03-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2013\voyager1_48s_mag-vim_20130101_v01.cdf,16806,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\02\voyager1_coho1hr_merged_mag_plasma_20130201_v01.cdf,0,3,806,15,6930,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2013\Voyager1_VLISM_2013-02.png,,132944,0,6340
1,2013-03-01,2013-03-01,2013-04-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2013\voyager1_48s_mag-vim_20130101_v01.cdf,20428,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\03\voyager1_coho1hr_merged_mag_plasma_20130301_v01.cdf,0,3,1078,15,8370,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2013\Voyager1_VLISM_2013-03.png,,140180,0,5899
1,2013-04-01,2013-04-01,2013-05-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2013\voyager1_48s_mag-vim_20130101_v01.cdf,27926,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\04\voyager1_coho1hr_merged_mag_plasma_20130401_v01.cdf,0,3,1187,15,9180,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2013\Voyager1_VLISM_2013-04.png,,103000,0,4038
1,2013-05-01,2013-05-01,2013-06-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2013\voyager1_48s_mag-vim_20130101_v01.cdf,33364,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\05\voyager1_coho1hr_merged_mag_plasma_20130501_v01.cdf,0,3,1410,15,10800,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2013\Voyager1_VLISM_2013-05.png,,88492,0,2407
1,2013-06-01,2013-06-01,2013-07-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2013\voyager1_48s_mag-vim_20130101_v01.cdf,29051,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\06\voyager1_coho1hr_merged_mag_plasma_20130601_v01.cdf,0,3,1136,15,9090,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2013\Voyager1_VLISM_2013-06.png,,98656,0,4149
1,2013-07-01,2013-07-01,2013-08-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2013\voyager1_48s_mag-vim_20130101_v01.cdf,25696,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\07\voyager1_coho1hr_merged_mag_plasma_20130701_v01.cdf,0,3,867,15,8190,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2013\Voyager1_VLISM_2013-07.png,,119060,0,6050
1,2013-08-01,2013-08-01,2013-09-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2013\voyager1_48s_mag-vim_20130101_v01.cdf,22320,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2013\08\voyager1_coho1hr_merged_mag_plasma_20130801_v01.cdf,0,3,1021,15,8550,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2013\Voyager1_VLISM_2013-08.png,,132096,0,5816
